merek;type;area;rating;lat;long;coordinates;id;;;;;;;;;;;;;;
Bengkel Ketok Magic Ary Motor;Car;Jakarta Timur;4,7;-6.2582674;106.8624654;{'lat': -6.258267400000001 , 'lng': 106.8624654000303 };36;;;;;;;;;;;;;;
Rapperind Motor;Car;Jakarta Timur;5;-6.247664935;106.9124396;{'lat': -6.247664934885226 , 'lng': 106.9124396270135 };37;;;;;;;;;;;;;;
Tri Jaya Motor;Car;Jakarta Timur;4,9;-6.352035874;106.8896247;{'lat': -6.352035874059854 , 'lng': 106.88962467119416 };38;;;;;;;;;;;;;;
AA Motor;Car;Jakarta Timur;4,6;-6.290014949;106.8907422;{'lat': -6.290014948985339 , 'lng': 106.89074216056807 };39;;;;;;;;;;;;;;
Yopi Motor;Car;Jakarta Timur;4;-6.341638474;106.909687;{'lat': -6.341638473629389 , 'lng': 106.90968696661326 };40;;;;;;;;;;;;;;
Harmonic Jaya Motor;Car;Jakarta Timur;4,4;-6.204491434;106.8732483;{'lat': -6.20449143400846 , 'lng': 106.87324832886642 };41;;;;;;;;;;;;;;
Mamba Motor;Car;Jakarta Timur;4,8;-6.174374;106.8919666;{'lat': -6.174374000201918 , 'lng': 106.89196661352192 };42;;;;;;;;;;;;;;
Calista Abadi Motor;Car;Jakarta Timur;4,9;-6.351945837;106.9019606;{'lat': -6.351945837027943 , 'lng': 106.9019606000303 };43;;;;;;;;;;;;;;
Bengkel Motor BMS;Motorcycle;Jakarta Timur;3,3;-6.23818204;106.8806122;{'lat': -6.238182039699677 , 'lng': 106.8806122474947 };44;;;;;;;;;;;;;;
Bengkel Motor Agung Motor;Motorcycle;Jakarta Timur;3;-6.225120297;106.8907981;{'lat': -6.225120297041961 , 'lng': 106.89079812208148 };45;;;;;;;;;;;;;;
Sentra Motor;Motorcycle;Jakarta Timur;5;-6.186334138;106.9230284;{'lat': -6.186334138290459 , 'lng': 106.92302841679724 };46;;;;;;;;;;;;;;
Bengkel Motor A5M;Motorcycle;Jakarta Timur;3,7;-6.236816609;106.9192218;{'lat': -6.236816609367075 , 'lng': 106.91922180024238 };47;;;;;;;;;;;;;;
Bengkel Motor Bang Alam;Motorcycle;Jakarta Timur;4,8;-6.238216255;106.8799964;{'lat': -6.238216255111401 , 'lng': 106.87999640024238 };48;;;;;;;;;;;;;;
Bengkel Antona motor;Motorcycle;Jakarta Barat;4,4;-6.18027;106.760934;{'lat':-6.180270, 'lng':106.760934};49;;;;;;;;;;;;;;
Bengkel Auto Prima motor;Motorcycle;Jakarta Barat;4,3;-6.212391;106.759354;{'lat':-6.212391, 'lng':106.759354};50;;;;;;;;;;;;;;
Bengkel Citra Prima motor;Car;Jakarta Barat;4,6;-6.211623;106.759606;{'lat':-6.211623, 'lng':106.759606};51;;;;;;;;;;;;;;
KJS Motor;Car;Jakarta Barat;4,7;-6.172636;106.722098;{'lat':-6.172636, 'lng':106.722098};52;;;;;;;;;;;;;;
Bengkel Resmi;Motorcycle;Jakarta Barat;4,4;-6.119071;106.709573;{'lat':-6.119071, 'lng':106.709573};53;;;;;;;;;;;;;;
Primatama Motor;Car;Jakarta Barat;4,2;-6.188909;106.774367;{'lat':-6.188909, 'lng':106.774367};54;;;;;;;;;;;;;;
Ketapang Jaya Motor Body Repair;Car;Jakarta Barat;4,8;-6.159037;106.815059;{'lat':-6.159037, 'lng':106.815059};55;;;;;;;;;;;;;;
Asia Motor;Car;Jakarta Barat;4,5;-6.156785;106.757216;{'lat':-6.156785, 'lng':106.757216};56;;;;;;;;;;;;;;
Bengkel Mobil BOS Kedoya;Car;Jakarta Barat;4,5;-6.182954;106.767772;{'lat':-6.182954, 'lng':106.767772};57;;;;;;;;;;;;;;
Otomall.id;Car;Jakarta Barat;4,8;-6.199334;106.76272;{'lat':-6.199334, 'lng':106.762720};58;;;;;;;;;;;;;;
New Beringin Motor;Car;Jakarta Barat;4,8;-6.190054;106.76272;{'lat':-6.190054, 'lng':106.770272};59;;;;;;;;;;;;;;
Ichiban Tyre & Autoservice;Car;Jakarta Barat;4,5;-6.185616;106.774497;{'lat':-6.185616, 'lng':106.774497};60;;;;;;;;;;;;;;
Padi Mas Motor;Car;Jakarta Barat;3,9;-6.164294;106.784024;{'lat':-6.164294, 'lng':106.784024};61;;;;;;;;;;;;;;
Bengkel Delapan Selindo Persada;Car;Jakarta Barat;4,5;-6.193246;106.727299;{'lat':-6.193246, 'lng':106.727299};62;;;;;;;;;;;;;;
Hero Palmerah Motor;Car;Jakarta Barat;4,6;-6.205336;106.796188;{'lat':-6.205336, 'lng':106.796188};63;;;;;;;;;;;;;;
Garasi 64 Auto Body Repair & Paint;Car;Jakarta Barat;4,7;-6.20062;106.786544;{'lat':-6.200620, 'lng':106.786544};64;;;;;;;;;;;;;;
Inti Raharja Motor;Car;Jakarta Barat;4,4;-6.194679;106.788822;{'lat':-6.194679, 'lng':106.788822};65;;;;;;;;;;;;;;
Suzuki Putra Wijaya Motor;Car;Jakarta Barat;4,1;-6.153315;106.724189;{'lat':-6.153315, 'lng':106.724189};66;;;;;;;;;;;;;;
PT. TRIPANCARJAYA (TPJ);Car;Jakarta Barat;4,2;-6.192134;106.724189;{'lat':-6.192134, 'lng':106.725656};67;;;;;;;;;;;;;;
Solid Motor;Car;Jakarta Barat;4,2;-6.19735;106.757682;{'lat':-6.197350, 'lng':106.757682};68;;;;;;;;;;;;;;
Lido Jaya Motor Workshop;Car;Jakarta Barat;4,3;-6.214064;106.737549;{'lat':-6.214064, 'lng':106.737549};69;;;;;;;;;;;;;;
MAX Autocar Paint & Body Repair;Car;Jakarta Barat;4,5;-6.1438;106.721434;{'lat':-6.143800, 'lng':106.721434};70;;;;;;;;;;;;;;
Mitra Saluska Motor;Car;Jakarta Barat;4,5;-6.179404;106.735965;{'lat':-6.179404, 'lng':106.735965};71;;;;;;;;;;;;;;
Riverside Bengkel;Car;Jakarta Pusat;4,6;-6.207136407;106.8095116;{'lat':-6.207136407269855, 'lng':106.8095115994123};72;;;;;;;;;;;;;;
Bengkel Body Repair (Pak Nana);Car;Jakarta Pusat;4,8;-6.204119959;106.8059385;{'lat':-6.204119958891117, 'lng':106.80593848169686};73;;;;;;;;;;;;;;
Bengkel Mobil Panggilan (Feeling Motor);Car;Jakarta Pusat;4,4;-6.192200956;106.855097;{'lat':-6.19220095628382, 'lng':106.85509702950999};74;;;;;;;;;;;;;;
Bengkel Mobil Kali Pasir;Car;Jakarta Pusat;3;-6.185954332;106.838861;{'lat':-6.185954331685281, 'lng':106.8388609619129};75;;;;;;;;;;;;;;
Tiga Saudara;Car;Jakarta Pusat;5,0;-6.184503704;106.8313937;{'lat':-6.18450370402353, 'lng':106.83139369209809};76;;;;;;;;;;;;;;
Cahaya Semesta;Car;Jakarta Pusat;5,0;-6.186696932;106.8305036;{'lat':-6.186696932146532, 'lng':106.83050360822486};77;;;;;;;;;;;;;;
Bengkel Mobil 56;Car;Jakarta Pusat;4,0;-6.16045422;106.839547;{'lat':-6.160454219666344, 'lng':106.83954697416736};78;;;;;;;;;;;;;;
Bengkel Pegassus;Car;Jakarta Pusat;4,7;-6.163763609;106.8415555;{'lat':-6.163763608705998, 'lng':106.84155553520252};79;;;;;;;;;;;;;;
Kepu Bengkel;Car;Jakarta Pusat;4,4;-6.16354703;106.8431916;{'lat':-6.163547029503999, 'lng':106.84319162917285};80;;;;;;;;;;;;;;
Bengkel Garuda Sakti;Car;Jakarta Pusat;3,6;-6.16150415;106.8433979;{'lat':-6.1615041499154115, 'lng':106.84339787612583};81;;;;;;;;;;;;;;
Bengkel Montir.com Service Mobil Motor;All;Jakarta Pusat;4,0;-6.159126191;106.8216643;{'lat':-6.159126191320634, 'lng':106.82166427314812};82;;;;;;;;;;;;;;
Bengkel Mobil Hendra;Car;Jakarta Pusat;4,7;-6.168776987;106.8428886;{'lat':-6.168776987307522, 'lng':106.84288859308604};83;;;;;;;;;;;;;;
Bengkel Tono Dynamo;Car;Jakarta Pusat;5,0;-6.171362278;106.843201;{'lat':-6.171362277978967, 'lng':106.8432009558815};84;;;;;;;;;;;;;;
Specalis Kaki-kaki mobil.rizky.putra;Car;Jakarta Pusat;4,4;-6.171131424;106.8429378;{'lat':-6.171131423966875, 'lng':106.84293779633886};85;;;;;;;;;;;;;;
Bengkel Mobil Satia Motor;Car;Jakarta Pusat;5,0;-6.158493212;106.8551214;{'lat':-6.158493212358225, 'lng':106.85512143540711};86;;;;;;;;;;;;;;
Montir Terdekat;Car;Jakarta Pusat;5,0;-6.156615831;106.8530186;{'lat':-6.156615831276894, 'lng':106.85301858361443};87;;;;;;;;;;;;;;
Bengkel Mobil Sinar Sampurna;Car;Jakarta Pusat;5,0;-6.162766261;106.8477488;{'lat':-6.162766260837894,'lng':106.84774875605673};88;;;;;;;;;;;;;;
Sanjaya Motor;Car;Jakarta Pusat;5,0;-6.172872025;106.8477829;{'lat':-6.172872024579675, 'lng':106.84778291181786};89;;;;;;;;;;;;;;
Usman Lestari Bengkel;Car;Jakarta Pusat;4,7;-6.172963655;106.8524265;{'lat':-6.1729636554912615, 'lng':106.85242652825887};90;;;;;;;;;;;;;;
Bengkel Mobil Mitra Jaya Motor;Car;Jakarta Pusat;4,5;-6.173160988;106.8197326;{'lat':-6.173160988036653, 'lng':106.81973259539824};91;;;;;;;;;;;;;;
Yoshida Motor;Motorcycle;Jakarta Pusat;4,7;-6.174486315;106.8081839;{'lat':-6.174486314501759, 'lng':106.80818388125792};92;;;;;;;;;;;;;;
Bengkel Sinar Jaya Motor;Motorcycle;Jakarta Pusat;4,4;-6.176192967;106.8183119;{'lat':-6.176192967338243, 'lng':106.81831190213701};93;;;;;;;;;;;;;;
Yamaha Bintang Jaya Motor;Motorcycle;Jakarta Pusat;4,4;-6.190187313;106.8138487;{'lat':-6.190187312959632, 'lng':106.81384870649539};94;;;;;;;;;;;;;;
Bengkel Motor Mr.Montir Kebon Kacang;Motorcycle;Jakarta Pusat;4,6;-6.187115415;106.8209458;{'lat'-6.187115415410238, 'lng':106.82094583083534};95;;;;;;;;;;;;;;
Bengkel Berkah Motor;Motorcycle;Jakarta Pusat;4,8;-6.179435593;106.8329621;{'lat':-6.179435592673429, 'lng':106.83296212741806};96;;;;;;;;;;;;;;
Chandra Motor;Car;Jakarta Pusat;4,3;-6.181824883;106.835886;{'lat':-6.181824882762897, 'lng':106.83588596790354};97;;;;;;;;;;;;;;
Jaya Motor;Car;Jakarta Pusat;4,5;-6.18557946;106.8365726;{'lat':-6.185579459669076, 'lng':06.83657261338685};98;;;;;;;;;;;;;;
Bengkel Utama Motor;Motorcycle;Jakarta Pusat;4,5;-6.165067625;106.8365034;{'lat':-6.165067625065821, 'lng':106.83650339260757;99;;;;;;;;;;;;;;
Yamaha Maha Makmur Motor;Motorcycle;Jakarta Pusat;4,7;-6.163360936;106.8433698;{'lat':-6.163360936405553, 'lng':106.84336984744083};100;;;;;;;;;;;;;;
